"Time&Date","$Flags$","A43","A58",                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
2017/12/21 13:24:26.03,"",6.058E-13,2.3266E-13,
2017/12/21 13:24:26.15,"",3.8273E-14,-6.7871E-13,
2017/12/21 13:24:26.27,"",1.1783E-12,3.6766E-13,
2017/12/21 13:24:26.57,"",1.3322E-12,2.4191E-13,
2017/12/21 13:24:26.72,"",1.5206E-12,-2.6054E-13,
2017/12/21 13:24:26.87,"",7.2136E-13,3.7279E-13,
2017/12/21 13:24:27.02,"",9.5605E-13,6.5055E-13,
2017/12/21 13:24:27.17,"",1.0675E-13,5.4735E-13,
2017/12/21 13:24:27.30,"",1.6369E-12,-1.1673E-12,
2017/12/21 13:24:27.44,"",1.3406E-12,-9.3792E-13,
2017/12/21 13:24:27.58,"",2.1833E-12,-4.5031E-13,
2017/12/21 13:24:27.72,"",6.6315E-13,4.6032E-13,
2017/12/21 13:24:27.86,"",1.472E-12,-6.5645E-13,
2017/12/21 13:24:28.00,"",1.2682E-12,1.1622E-14,
2017/12/21 13:24:28.15,"",1.0695E-12,-5.1357E-13,
2017/12/21 13:24:28.25,"",1.1741E-13,4.9433E-13,
2017/12/21 13:24:28.36,"",2.1563E-13,-1.1916E-12,
2017/12/21 13:24:28.50,"",1.9002E-12,-6.0672E-13,
2017/12/21 13:24:28.78,"",1.6253E-12,-1.2057E-12,
2017/12/21 13:24:28.93,"",1.488E-12,-8.0895E-13,
2017/12/21 13:24:29.08,"",1.5294E-12,-1.049E-12,
2017/12/21 13:24:29.23,"",1.4225E-12,-2.5195E-13,
2017/12/21 13:24:29.38,"",1.0476E-12,-8.8664E-13,
2017/12/21 13:24:29.51,"",2.0885E-12,-1.4692E-13,
2017/12/21 13:24:29.66,"",1.2671E-12,3.4521E-14,
2017/12/21 13:24:29.80,"",1.2969E-12,-8.1267E-13,
2017/12/21 13:24:29.93,"",1.9285E-12,-7.7295E-13,
2017/12/21 13:24:30.08,"",1.8871E-12,-4.0118E-13,
2017/12/21 13:24:30.22,"",1.151E-12,-7.1699E-13,
2017/12/21 13:24:30.36,"",3.2482E-13,3.0007E-13,
2017/12/21 13:24:30.46,"",2.1527E-12,-7.3894E-13,
2017/12/21 13:24:30.58,"",1.2006E-12,-1.0692E-12,
2017/12/21 13:24:30.73,"",1.4765E-12,-8.062E-13,
2017/12/21 13:24:30.98,"",7.4815E-13,8.0824E-13,
2017/12/21 13:24:31.13,"",1.2328E-12,1.9237E-13,
2017/12/21 13:24:31.26,"",1.2999E-12,-9.888E-13,
2017/12/21 13:24:31.41,"",7.6438E-13,2.8253E-13,
2017/12/21 13:24:31.54,"",1.0614E-12,3.5531E-13,
2017/12/21 13:24:31.69,"",5.1226E-13,5.9636E-13,
2017/12/21 13:24:31.83,"",1.6257E-12,-7.29E-13,
2017/12/21 13:24:31.93,"",3.9547E-13,3.1419E-13,
2017/12/21 13:24:32.06,"",2.4898E-13,1.5926E-13,
2017/12/21 13:24:32.20,"",7.3966E-13,3.7753E-13,
2017/12/21 13:24:32.35,"",1.1038E-12,1.409E-13,
2017/12/21 13:24:32.51,"",-1.6124E-13,6.0401E-13,
2017/12/21 13:24:32.62,"",1.0103E-13,4.2723E-13,
2017/12/21 13:24:32.75,"",1.3817E-12,-6.9189E-13,
2017/12/21 13:24:32.88,"",1.6882E-12,4.2717E-13,
2017/12/21 13:24:33.04,"",1.5607E-12,-5.1138E-14,
2017/12/21 13:24:33.29,"",1.1681E-12,-4.665E-13,
2017/12/21 13:24:33.43,"",5.1032E-13,2.8153E-13,
2017/12/21 13:24:33.58,"",9.7016E-13,5.2173E-15,
2017/12/21 13:24:33.72,"",1.1375E-12,-3.3071E-13,
2017/12/21 13:24:33.87,"",1.0219E-12,-1.1243E-12,
2017/12/21 13:24:34.00,"",2.3562E-12,-6.686E-13,
2017/12/21 13:24:34.14,"",8.4688E-13,1.9833E-13,
2017/12/21 13:24:34.35,"",6.7536E-13,5.675E-13,
2017/12/21 13:24:34.47,"",2.3612E-12,-6.922E-13,
2017/12/21 13:24:34.65,"",1.8029E-12,-4.6214E-13,
2017/12/21 13:24:34.80,"",1.3806E-12,4.5561E-13,
2017/12/21 13:24:34.94,"",1.5336E-12,-3.1475E-15,
2017/12/21 13:24:35.08,"",7.4886E-13,7.5369E-13,
2017/12/21 13:24:35.23,"",6.2745E-13,9.1874E-13,
2017/12/21 13:24:35.38,"",1.5907E-12,7.1663E-13,
2017/12/21 13:24:35.53,"",2.5912E-12,-1.7795E-13,
2017/12/21 13:24:35.65,"",3.0728E-12,-7.0886E-13,
2017/12/21 13:24:35.78,"",1.9084E-12,8.113E-13,
2017/12/21 13:24:35.93,"",2.5951E-12,2.8548E-13,
2017/12/21 13:24:36.04,"",2.5287E-12,8.9131E-13,
2017/12/21 13:24:36.15,"",2.9628E-12,-3.4503E-13,
2017/12/21 13:24:36.29,"",4.4629E-12,3.4871E-13,
2017/12/21 13:24:36.46,"",5.1139E-12,-2.0022E-13,
2017/12/21 13:24:36.64,"",5.0058E-12,3.1705E-13,
2017/12/21 13:24:36.79,"",4.7109E-12,-3.8955E-13,
2017/12/21 13:24:36.91,"",5.512E-12,8.4721E-13,
2017/12/21 13:24:37.07,"",5.1488E-12,7.9592E-13,
2017/12/21 13:24:37.22,"",6.2607E-12,7.5363E-14,
2017/12/21 13:24:37.36,"",6.7885E-12,7.6859E-13,
2017/12/21 13:24:37.49,"",6.8053E-12,-2.8595E-13,
2017/12/21 13:24:37.63,"",6.151E-12,1.1127E-12,
2017/12/21 13:24:37.77,"",6.7814E-12,1.0829E-12,
2017/12/21 13:24:37.90,"",6.7033E-12,7.49E-13,
2017/12/21 13:24:38.05,"",7.9699E-12,1.5805E-13,
2017/12/21 13:24:38.20,"",8.1804E-12,1.3535E-12,
2017/12/21 13:24:38.34,"",8.5098E-12,9.230899E-13,
2017/12/21 13:24:38.47,"",7.6467E-12,1.6795E-12,
2017/12/21 13:24:38.75,"",8.2537E-12,1.7556E-12,
2017/12/21 13:24:38.90,"",1.0011E-11,1.0813E-12,
2017/12/21 13:24:39.06,"",1.0343E-11,7.2097E-13,
2017/12/21 13:24:39.17,"",1.1433E-11,4.8612E-13,
2017/12/21 13:24:39.32,"",1.1894E-11,8.2784E-13,
2017/12/21 13:24:39.47,"",9.685E-12,1.4063E-12,
2017/12/21 13:24:39.63,"",1.2418E-11,5.787E-13,
2017/12/21 13:24:39.78,"",1.2515E-11,5.1902E-13,
2017/12/21 13:24:39.93,"",1.2759E-11,7.4263E-13,
2017/12/21 13:24:40.08,"",1.2337E-11,1.4187E-12,
2017/12/21 13:24:40.23,"",1.3258E-11,1.7892E-12,
2017/12/21 13:24:40.34,"",1.2585E-11,7.1224E-13,
2017/12/21 13:24:40.46,"",1.3319E-11,1.8602E-12,
2017/12/21 13:24:40.59,"",1.2127E-11,2.2861E-12,
2017/12/21 13:24:40.83,"",1.3173E-11,1.9432E-12,
2017/12/21 13:24:40.97,"",1.5641E-11,1.7813E-12,
2017/12/21 13:24:41.11,"",1.4768E-11,1.3146E-12,
2017/12/21 13:24:41.26,"",1.4182E-11,2.2904E-12,
2017/12/21 13:24:41.37,"",1.5433E-11,2.2067E-12,
2017/12/21 13:24:41.50,"",1.4706E-11,2.1191E-12,
2017/12/21 13:24:41.62,"",1.5859E-11,1.1454E-12,
2017/12/21 13:24:41.76,"",1.5636E-11,9.7228E-13,
2017/12/21 13:24:41.88,"",1.6291E-11,2.1735E-12,
2017/12/21 13:24:42.01,"",1.4823E-11,2.543E-12,
2017/12/21 13:24:42.14,"",1.5738E-11,1.1309E-12,
2017/12/21 13:24:42.30,"",1.7871E-11,1.9864E-12,
2017/12/21 13:24:42.44,"",1.7184E-11,1.1531E-12,
2017/12/21 13:24:42.54,"",1.7347E-11,2.3528E-12,
2017/12/21 13:24:42.69,"",1.598E-11,1.7928E-12,
2017/12/21 13:24:42.85,"",1.6371E-11,1.6279E-12,
2017/12/21 13:24:43.02,"",1.9204E-11,1.9598E-12,
2017/12/21 13:24:43.20,"",1.6976E-11,2.2975E-12,
2017/12/21 13:24:43.35,"",1.8899E-11,7.5895E-13,
2017/12/21 13:24:43.47,"",1.9384E-11,2.7623E-12,
2017/12/21 13:24:43.63,"",1.8707E-11,1.1678E-12,
2017/12/21 13:24:43.77,"",1.7684E-11,1.66E-12,
2017/12/21 13:24:43.93,"",1.9447E-11,2.3708E-12,
2017/12/21 13:24:44.18,"",2.0727E-11,3.3262E-12,
2017/12/21 13:24:44.35,"",2.3215E-11,2.0224E-12,
2017/12/21 13:24:44.49,"",2.0054E-11,2.1473E-12,
2017/12/21 13:24:44.64,"",2.0109E-11,1.3661E-12,
2017/12/21 13:24:44.81,"",2.1077E-11,2.9791E-12,
2017/12/21 13:24:44.96,"",2.1177E-11,2.0871E-12,
2017/12/21 13:24:45.11,"",1.9478E-11,2.3968E-12,
2017/12/21 13:24:45.24,"",2.04E-11,1.5109E-12,
2017/12/21 13:24:45.38,"",2.074E-11,2.7387E-12,
2017/12/21 13:24:45.53,"",1.9995E-11,1.6557E-12,
2017/12/21 13:24:45.66,"",2.0529E-11,2.4945E-12,
2017/12/21 13:24:45.81,"",2.0115E-11,2.2773E-12,
2017/12/21 13:24:45.94,"",1.9747E-11,3.3263E-12,
2017/12/21 13:24:46.05,"",1.8998E-11,2.3966E-12,
2017/12/21 13:24:46.20,"",2.0655E-11,2.4574E-12,
2017/12/21 13:24:46.45,"",2.0806E-11,2.6701E-12,
2017/12/21 13:24:46.59,"",2.0336E-11,2.6066E-12,
2017/12/21 13:24:46.74,"",1.9558E-11,2.3473E-12,
2017/12/21 13:24:46.89,"",2.0919E-11,2.6808E-12,
2017/12/21 13:24:47.04,"",2.0294E-11,2.7367E-12,
2017/12/21 13:24:47.19,"",2.1166E-11,1.9214E-12,
2017/12/21 13:24:47.34,"",2.1414E-11,3.3001E-12,
2017/12/21 13:24:47.46,"",2.282E-11,2.1503E-12,
2017/12/21 13:24:47.62,"",2.1851E-11,1.5004E-12,
2017/12/21 13:24:47.76,"",2.0857E-11,2.61E-12,
2017/12/21 13:24:47.89,"",2.2382E-11,3.3678E-12,
2017/12/21 13:24:48.02,"",2.1343E-11,1.7345E-12,
2017/12/21 13:24:48.15,"",2.1126E-11,2.3242E-12,
2017/12/21 13:24:48.27,"",1.9765E-11,3.0257E-12,
2017/12/21 13:24:48.40,"",2.144E-11,1.9722E-12,
2017/12/21 13:24:48.68,"",2.1732E-11,2.6839E-12,
2017/12/21 13:24:48.83,"",2.1254E-11,2.5578E-12,
2017/12/21 13:24:48.95,"",2.1568E-11,1.7009E-12,
2017/12/21 13:24:49.10,"",2.3405E-11,1.8386E-12,
2017/12/21 13:24:49.22,"",2.1649E-11,2.9959E-12,
2017/12/21 13:24:49.37,"",2.1253E-11,3.2E-12,
2017/12/21 13:24:49.52,"",2.1505E-11,1.8569E-12,
2017/12/21 13:24:49.66,"",2.0785E-11,2.6505E-12,
2017/12/21 13:24:49.80,"",2.1171E-11,1.2215E-12,
2017/12/21 13:24:49.91,"",2.1064E-11,1.3854E-12,
2017/12/21 13:24:50.06,"",2.1712E-11,2.8521E-12,
2017/12/21 13:24:50.19,"",2.2668E-11,2.7814E-12,
2017/12/21 13:24:50.34,"",2.0595E-11,2.053E-12,
2017/12/21 13:24:50.44,"",2.2528E-11,2.1078E-12,
2017/12/21 13:24:50.57,"",2.108E-11,1.852E-12,
2017/12/21 13:24:50.73,"",2.0428E-11,2.0538E-12,
2017/12/21 13:24:50.90,"",2.1869E-11,8.764E-13,
2017/12/21 13:24:51.06,"",1.9813E-11,3.0151E-12,
2017/12/21 13:24:51.18,"",2.2311E-11,2.215E-12,
2017/12/21 13:24:51.34,"",2.2925E-11,1.7401E-12,
